"","Latitud","Longitud"
"1784",12.285,76.8871
"1785",12.285,76.8871
"1786",12.285,76.8871
"1787",12.285,76.8871
"1788",12.285,76.8871
"1789",12.285,76.8871
"1790",12.285,76.8871
"1791",12.285,76.8871
"1792",12.285,76.8871
"1793",12.285,76.8871
"1794",12.285,76.8871
"1795",12.285,76.8871
"1796",12.285,76.8871
"1797",12.285,76.8871
"1798",12.285,76.8871
"1799",12.285,76.8871
"1800",12.285,76.8871
"1801",12.285,76.8871
"1802",12.285,76.8871
"1803",12.285,76.8871
"1804",12.285,76.8871
"1805",12.285,76.8871
"1806",12.285,76.8871
"1807",12.285,76.8871
"1808",12.285,76.8871
"1809",12.285,76.8871
"1810",12.285,76.8871
"1811",12.285,76.8871
"1812",12.285,76.8871
"1813",12.285,76.8871
"1814",12.285,76.8871
"1815",12.285,76.8871
"1816",12.285,76.8871
"1817",12.285,76.8871
"1818",12.285,76.8871
"1819",12.285,76.8871
"1820",12.285,76.8871
"1821",12.285,76.8871
"1822",12.285,76.8871
"1823",12.285,76.8871
"1824",12.285,76.8871
"1825",12.285,76.8871
"1826",12.285,76.8871
"1827",12.285,76.8871
"1828",12.285,76.8871
"1829",12.285,76.8871
"1830",12.285,76.8871
"1831",12.285,76.8871
"1832",12.285,76.8871
"1833",12.285,76.8871
"1834",12.285,76.8871
"1835",12.285,76.8871
"1836",12.285,76.8871
"1837",12.285,76.8871
"1838",12.285,76.8871
"1839",12.285,76.8871
"1840",12.285,76.8871
"1841",12.285,76.8871
"1842",12.285,76.8871
"1843",12.285,76.8871
"1844",12.285,76.8871
"1845",12.285,76.8871
"1846",12.285,76.8871
"1847",12.285,76.8871
"1848",12.285,76.8871
"1849",12.285,76.8871
"1850",12.285,76.8871
"1851",12.285,76.8871
"1852",12.285,76.8871
"1853",12.2859,76.883
"1854",12.2859,76.883
"1855",12.2859,76.883
"1856",12.2859,76.883
"1857",12.2859,76.883
"1858",12.2859,76.883
"1859",12.2859,76.883
"1860",12.2859,76.883
"1861",12.2859,76.883
"1862",12.2859,76.883
"1863",12.2859,76.883
"1864",12.2858,76.883
"1865",12.2858,76.883
"1866",12.2858,76.883
"1867",12.2858,76.883
"1868",12.2858,76.883
"1869",12.2853,76.88
"1870",12.2853,76.88
"1871",12.2853,76.88
"1872",12.2853,76.88
"1873",12.2853,76.88
"1874",12.2853,76.88
"1875",12.2853,76.88
"1876",12.2853,76.88
"1877",12.2853,76.88
"1878",12.2853,76.88
"1879",12.2853,76.88
"1880",12.285,76.8871
"1881",12.285,76.8871
"1882",12.285,76.8871
"1883",12.285,76.8871
"1884",12.285,76.8871
"1885",12.285,76.8871
"1886",12.285,76.8871
"1887",12.285,76.8871
"1888",12.285,76.8871
"1889",12.285,76.8871
"1890",12.285,76.8871
"1891",12.285,76.8871
"1892",12.285,76.8871
"1893",12.285,76.8871
"1894",12.285,76.8871
"1895",12.285,76.8871
"1896",12.285,76.8871
"1897",12.285,76.8871
"1898",12.285,76.8871
"1899",12.285,76.8871
"1900",12.285,76.8871
"1901",12.285,76.8871
"1902",12.285,76.8871
"1903",12.285,76.8871
"1904",12.285,76.8871
"1905",12.285,76.8871
"1906",12.285,76.8871
"1907",12.285,76.8871
"1908",12.285,76.8871
"1909",12.285,76.8871
"1910",12.285,76.8871
"1911",12.285,76.8871
"1912",12.285,76.8871
"1913",12.285,76.8871
"1914",12.285,76.8871
"1915",12.285,76.8871
"1916",12.285,76.8871
"1917",12.285,76.8871
"1918",12.285,76.8871
"1919",12.285,76.8871
"1920",12.285,76.8871
"1921",12.285,76.8871
"1922",12.285,76.8871
"1923",12.285,76.8871
"1924",12.285,76.8871
"1925",12.285,76.8871
"1926",12.285,76.8871
"1927",12.285,76.8871
"1928",12.285,76.8871
"1929",12.285,76.8871
"1930",12.285,76.8871
"1931",12.285,76.8871
"1932",12.285,76.8871
"1933",12.285,76.8871
"1934",12.285,76.8871
"1935",12.285,76.8871
"1936",12.285,76.8871
"1937",12.285,76.8871
"1938",12.285,76.8871
"1939",12.285,76.8871
"1940",12.285,76.8871
"1941",12.285,76.8871
"1942",12.285,76.8871
"1943",12.285,76.8871
"1944",12.285,76.8871
"1945",12.285,76.8871
"1946",12.285,76.8871
"1947",12.285,76.8871
"1948",12.285,76.8871
"1949",12.285,76.8871
"1950",12.285,76.8871
"1951",12.285,76.8871
"1952",12.285,76.8871
"1953",12.285,76.8871
"1954",12.285,76.8871
"1955",12.285,76.8871
"1956",12.285,76.8871
"1957",12.285,76.8871
"1958",12.285,76.8871
"1959",12.285,76.8871
"1960",12.285,76.8871
"1961",12.285,76.8871
"1962",12.285,76.8871
"1963",12.285,76.8871
"1964",12.285,76.8871
"1965",12.285,76.8871
"1966",12.285,76.8871
"1967",12.285,76.8871
"1968",12.285,76.8871
"1969",12.285,76.8871
"1970",12.285,76.8871
"1971",12.285,76.8871
"1972",12.285,76.8871
"1973",12.2858,76.883
"1974",12.2858,76.883
"1975",12.2858,76.883
"1976",12.2858,76.883
"1977",12.2858,76.883
"1978",12.2858,76.883
"1979",12.2858,76.883
"1980",12.2858,76.883
"1981",12.285,76.8871
"1982",12.285,76.8871
"1983",12.285,76.8871
"1984",12.285,76.8871
"1985",12.285,76.8871
"1986",12.285,76.8871
"1987",12.2858,76.883
"1988",12.2858,76.883
"1989",12.285,76.8871
"1990",12.285,76.8871
"1991",12.285,76.8871
"1992",12.285,76.8871
"1993",12.285,76.8871
"1994",12.285,76.8871
"1995",12.285,76.8871
"1996",12.285,76.8871
"1997",12.285,76.8871
"1998",12.285,76.8871
"1999",12.285,76.8871
"2000",12.285,76.8871
"2001",12.285,76.8871
"2002",12.285,76.8871
"2003",12.285,76.8871
"2004",12.285,76.8871
"2005",12.285,76.8871
"2006",12.285,76.8871
"2007",12.285,76.8871
"2008",12.285,76.8871
"2009",12.285,76.8871
"2010",12.285,76.8871
"2011",12.285,76.8871
"2012",12.285,76.8871
"2013",12.285,76.8871
"2014",12.2853,76.88
"2015",12.2853,76.88
"2016",12.2853,76.88
"2017",12.2853,76.88
"2018",12.2853,76.88
"2019",12.285,76.8871
"2020",12.285,76.8871
"2021",12.285,76.8871
"2022",12.285,76.8871
"2023",12.285,76.8871
"2024",12.285,76.8871
"2025",12.285,76.8871
"2026",12.285,76.8871
"2027",12.285,76.8871
"2028",12.285,76.8871
"2029",12.285,76.8871
"2030",12.285,76.8871
"2031",12.285,76.8871
"2032",12.285,76.8871
"2033",12.285,76.8871
"2034",12.2853,76.88
"2035",12.2853,76.88
"2036",12.2853,76.88
"2037",12.2853,76.88
"2038",12.2853,76.88
"2039",12.2853,76.88
"2040",12.2853,76.88
"2041",12.2853,76.88
"2042",12.285,76.8871
"2043",12.285,76.8871
"2044",12.2853,76.88
"2045",12.2853,76.88
"2046",12.2853,76.88
"2047",12.2853,76.88
"2048",12.2853,76.88
"2049",12.2853,76.88
"2050",12.285,76.8871
"2051",12.285,76.8871
"2052",12.285,76.8871
"2053",12.285,76.8871
"2054",12.285,76.8871
"2055",12.285,76.8871
"2056",12.2853,76.88
"2057",12.2853,76.88
"2058",12.285,76.8871
"2059",12.2853,76.88
"2060",12.2853,76.88
"2061",12.2853,76.88
"2062",12.285,76.8871
"2063",12.285,76.8871
"2064",12.285,76.8871
"2065",12.2853,76.88
"2066",12.285,76.8871
"2067",12.285,76.8871
"2068",12.285,76.8871
"2069",12.285,76.8871
"2070",12.285,76.8871
"2071",12.285,76.8871
"2072",12.285,76.8871
"2073",12.285,76.8871
"2074",12.285,76.8871
"2075",12.285,76.8871
"2076",12.285,76.8871
"2077",12.285,76.8871
"2078",12.285,76.8871
"2079",12.285,76.8871
"2080",12.285,76.8871
"2081",12.285,76.8871
"2082",12.285,76.8871
"2083",12.285,76.8871
"2084",12.285,76.8871
"2085",12.285,76.8871
"2086",12.285,76.8871
"2087",12.285,76.8871
"2088",12.285,76.8871
"2089",12.285,76.8871
"2090",12.285,76.8871
"2091",12.285,76.8871
"2092",12.285,76.8871
"2093",12.285,76.8871
"2094",12.285,76.8871
"2095",12.285,76.8871
"2096",12.285,76.8871
"2097",12.285,76.8871
"2098",12.285,76.8871
"2099",12.285,76.8871
"2100",12.285,76.8871
"2101",12.285,76.8871
"2102",12.285,76.8871
"2103",12.285,76.8871
"2104",12.285,76.8871
"2105",12.285,76.8871
"2106",12.285,76.8871
"2107",12.285,76.8871
"2108",12.285,76.8871
"2109",12.285,76.8871
"2110",12.285,76.8871
"2111",12.285,76.8871
"2112",12.285,76.8871
"2113",12.285,76.8871
"2114",12.285,76.8871
"2115",12.285,76.8871
"2116",12.285,76.8871
"2117",12.285,76.8871
"2118",12.285,76.8871
"2119",12.285,76.8871
"2120",12.285,76.8871
"2121",12.285,76.8871
"2122",12.285,76.8871
"2123",12.285,76.8871
"2124",12.285,76.8871
"2125",12.285,76.8871
"2126",12.285,76.8871
"2127",12.285,76.8871
"2128",12.285,76.8871
"2129",12.285,76.8871
"2130",12.285,76.8871
"2131",12.285,76.8871
"2132",12.285,76.8871
"2133",12.285,76.8871
"2134",12.285,76.8871
"2135",12.285,76.8871
"2136",12.285,76.8871
"2137",12.285,76.8871
"2138",12.285,76.8871
"2139",12.285,76.8871
"2140",12.285,76.8871
"2141",12.285,76.8871
"2142",12.285,76.8871
"2143",12.285,76.8871
"2144",12.285,76.8871
"2145",12.285,76.8871
"2146",12.285,76.8871
"2147",12.285,76.8871
"2148",12.285,76.8871
"2149",12.285,76.8871
"2150",12.285,76.8871
"2151",12.285,76.8871
"2152",12.285,76.8871
"2153",12.285,76.8871
"2154",12.285,76.8871
"2155",12.285,76.8871
"2156",12.285,76.8871
"2157",12.285,76.8871
"2158",12.285,76.8871
"2159",12.285,76.8871
"2160",12.285,76.8871
"2161",12.285,76.8871
"2162",12.285,76.8871
"2163",12.285,76.8871
"2164",12.285,76.8871
"2165",12.285,76.8871
"2166",12.285,76.8871
"2167",12.285,76.8871
"2168",12.285,76.8871
"2169",12.285,76.8871
"2170",12.285,76.8871
"2171",12.285,76.8871
"2172",12.285,76.8871
"2173",12.285,76.8871
"2174",12.285,76.8871
"2175",12.285,76.8871
"2176",12.285,76.8871
"2177",12.285,76.8871
"2178",12.285,76.8871
"2179",12.285,76.8871
"2180",12.285,76.8871
"2181",12.285,76.8871
"2182",12.285,76.8871
"2183",12.285,76.8871
"2184",12.285,76.8871
"2185",12.285,76.8871
"2186",12.285,76.8871
"2187",12.285,76.8871
"2188",12.285,76.8871
"2189",12.285,76.8871
"2190",12.285,76.8871
"2191",12.285,76.8871
"2192",12.285,76.8871
"2193",12.285,76.8871
"2194",12.285,76.8871
"2195",12.285,76.8871
"2196",12.285,76.8871
"2197",12.285,76.8871
"2198",12.285,76.8871
"2199",12.285,76.8871
"2200",12.285,76.8871
"2201",12.285,76.8871
"2202",12.285,76.8871
"2203",12.285,76.8871
